,0
У него черные волосы?,0.045447094846722574
Ваш персонаж женского пола?,0.04231441431832758
Этот персонаж был в 1 сезоне?,0.040712870198181664
Носит ли он очки или повязку на глазу?,0.03970710280376284
Этот персонаж мертв на текущий момент?,0.03953173401211762
Светлые ли у персонажа волосы (блондин; седой или белый)?,0.03858128353469799
Носит ли он головной убор?,0.03599906996279222
Есть ли у этого персонажа брат или сестра; также участвующие в сюжете?,0.03505994026908002
Является ли он лидером своеё группы,0.03439391074523927
Использует ли он меч как основное оружие?,0.03423402192999823
Выделяется ли персонаж огромным ростом и габаритами (значительно крупнее остальных)?,0.03258980975660789
Состоит в официальной организации(служитель закона),0.03193824499824951
Сражается в дальем бою?,0.030804339751515163
Сражается в рукопашку?,0.030598733834252257
Он выглядит как ребенок?,0.0289807742185084
Есть ли у него шрамы; татуировки или особые отметины на лице?,0.027138945159643133
У него явно нечеловеческая внешность?,0.02668484683410772
Сражался ли ваш персонаж против главного героя?,0.026561166785067706
Надевает ли персонаж маску на лицо (или имеет ее фрагмент) во время боя?,0.02638354326269931
Использует ли персонаж в бою яд; иллюзии или контроль разума?,0.026059449547596127
Является ли он синигами (проводником душ)?,0.02371972955333061
Может исцелять себя и других?,0.023151405436314474
Является ли он квинси?,0.022733914949738455
Является ли персонаж учителем или наставником?,0.022307021946930898
Является ли он пустым или арранкаром?,0.021809567619637867
У этого персонажа неестественный цвет волос (розовый; синий; зеленый)?,0.02180927064337873
Является ли он обычным человеком?,0.020757534764059418
Связаны ли боевые способности персонажа с конкретной стихией (огонь; лед; вода)?,0.020216049179766524
Персонаж из знатного рода(по праву крови)?,0.019793616077883745
Достиг ли этот персонаж банкая?,0.01819212378833844
Является ли этот персонаж ученым или изобретателем?,0.016573759729239693
Является ли он чьим-то слугой или подчиненным?,0.014952966900095288
Является ли он материализованным духом занпакто?,0.014637589829218249
Является ли он преступником(пиратом разбойником),0.013835988138597604
Можеи призывать существ(фамильяров),0.01333694569864702
Является ли он божеством (прародителем высшим существом)?,0.013107606510088654
Предавал ли этот персонаж свою изначальную организацию (является ли перебежчиком)?,0.013078172758672867
Является ли он модифицированной душой?,0.012265439706894437
