,0
У него черные волосы?,0.055083858826097384
Этот персонаж был в 1 сезоне?,0.049878370802298753
Ваш персонаж женского пола?,0.04925203267932853
Этот персонаж мертв на текущий момент?,0.047861372698263516
Является ли он лидером своеё группы,0.047162431480061724
Носит ли он очки или повязку на глазу?,0.04601444843699113
Носит ли он головной убор?,0.042307768619889795
Использует ли он меч как основное оружие?,0.04040741138755061
Сражается в рукопашку?,0.03976791607616245
Состоит в официальной организации(служитель закона),0.039182523739645335
Сражается в дальем бою?,0.03743969639410305
У него явно нечеловеческая внешность?,0.0373060585964967
Является ли он пустым или арранкаром?,0.03610278707024337
Он выглядит как ребенок?,0.035497405320588385
Есть ли у него шрамы; татуировки или особые отметины на лице?,0.03448199875382668
Является ли он синигами (проводником душ)?,0.03413587628269423
Сражался ли ваш персонаж против главного героя?,0.033543099895121865
Является ли персонаж учителем или наставником?,0.03325501515113159
Является ли он квинси?,0.03121153740264578
Персонаж из знатного рода(по праву крови)?,0.029947251258172873
Является ли он обычным человеком?,0.029758105014298618
Может исцелять себя и других?,0.029463837028694626
Является ли он материализованным духом занпакто?,0.026472049167224537
Является ли он преступником(пиратом разбойником),0.02499360242656623
Является ли он божеством (прародителем высшим существом)?,0.024135597734558624
Является ли он чьим-то слугой или подчиненным?,0.023172841066295632
Можеи призывать существ(фамильяров),0.022189060697138725
Является ли он модифицированной душой?,0.019976045993909234
