,0
Высокого ли персонаж роста?,0.03535107706519497
Имеет ли персонаж группу крови S (I / O)?,0.03456581062094639
Имеет ли персонаж группу крови F (III / B)?,0.03425402276940719
Имеет ли персонаж группу крови X (II / A)?,0.03416148436461014
Персонажу от 25 до 60 лет?,0.03238428817821653
Жив ли персонаж?,0.025196536086542345
Гигантского ли персонаж роста?,0.024535957532993247
Персонажу меньше 25 лет?,0.024232401966952075
Низкого ли персонаж роста?,0.024047533805285886
Съел ли персонаж Дьявольский фрукт?,0.023299950932430244
Имеет ли персонаж группу крови XF (IV / AB)?,0.02303907424162907
Относится ли Дьявольский фрукт к типу Парамеция?,0.02161301852803077
Является ли персонаж пиратом?,0.02144109624136755
Происходит ли персонаж с Гранд Лайн?,0.017604283350073188
Персонажу больше 60 лет?,0.01592402147604109
Происходит ли персонаж из Норт Блю?,0.013638679328089256
Происходит ли персонаж из Ист Блю?,0.012844738304716443
Появлялся ли персонаж в арке Уотер 7 / Эниес Лобби?,0.012708444105927679
Появлялся ли персонаж в арке Скайпия?,0.011469590081926627
Является ли персонаж офицером пиратов?,0.011369120836961557
Появлялся ли персонаж в арке Дрессроза?,0.011165892917753878
Появлялся ли персонаж в арке Страна Вано?,0.01043690727536197
Появлялся ли персонаж в арке Остров Рыболюдей?,0.0102922855943631
Происходит ли персонаж из Вест Блю?,0.01000074314599653
Происходит ли персонаж из Саут Блю?,0.009742741588315913
Появлялся ли персонаж в арке Пирожный Остров?,0.009153281834105376
Относится ли Дьявольский фрукт к типу Обычный Зоан?Bishamon,0.00889927777052169
Является ли персонаж капитаном?,0.008881560747595016
Является ли персонаж пиратским капитаном?,0.00826521540311266
Появлялся ли персонаж в ранних арках саги Арабасты?,0.00796722647514033
Появлялся ли персонаж в арке Архипелаг Сабаоди?,0.007957387601688622
Появлялся ли персонаж в арке Маринфорд?,0.007949239069594998
Появлялся ли персонаж в арке На заре приключений (Romance Dawn)?,0.007851792489305565
Появлялся ли персонаж в арке Барати?,0.0072657394956540285
Появлялся ли персонаж в арке Панк Хазард?,0.006914305607109868
Происходит ли персонаж с Острова Рыболюдей (Королевство Рюгу)?.1,0.006638213930056693
Появлялся ли персонаж в арке Арабаста?,0.006236920057768718
Был ли персонаж пиратом?,0.005937427999154211
Является ли персонаж агентом Сайфер Пол?,0.005801646170593489
Относится ли Дьявольский фрукт к типу Логия?,0.005799842561082316
Является ли персонаж врачом?,0.005754572311307703
Происходит ли персонаж из Тотто Лэнд (Гранд Лайн)?,0.005641218422761524
Появлялся ли персонаж в арке Триллер Барк?,0.005560989915260813
Был ли персонаж узником Импел Даун?,0.005523079587283807
Появлялся ли персонаж в арке Импел Даун?,0.005484535962777187
Был ли персонаж рабом?,0.005145617629271466
Появлялся ли персонаж в арке Дзо?,0.005067001928655988
Появлялся ли персонаж в арке Деревня Сиропа?,0.004992863634245206
Появлялся ли персонаж в арке Арлонг Парк?,0.004945438075229455
Является ли персонаж самураем?,0.0049349061397216485
Был ли персонаж капитаном?.1,0.00489526107220681
Был ли персонаж офицером-агентом (Барок Воркс)?,0.0046768218395042025
Относится ли Дьявольский фрукт к типу Мифический Зоан?,0.004595668074389323
Имеет ли персонаж группу крови S RH- (I / O редкую)?,0.0045037422792610134
Происходит ли персонаж с Эльбафа (Гранд Лайн)?,0.004350737785581256
Родился ли персонаж на корабле в Гранд Лайн?,0.004339369890794341
Происходит ли персонаж с Небесного Острова Бирка?,0.004322263329101766
Происходит ли персонаж из Королевства Рюгу (Гранд Лайн)?,0.0043079310820453
Является ли персонаж питомцем команды?,0.004289763847875736
Был ли персонаж пиратским капитаном?,0.004271772376674376
Является ли персонаж старшим офицером?,0.004242378207487453
Происходит ли персонаж из Королевства Арабаста (Гранд Лайн)?,0.004226128295179691
Является ли персонаж корабельным плотником?,0.004177710518484985
Является ли персонаж Вице-адмиралом Дозора?,0.004155292009136255
Происходит ли персонаж из Страны Вано (Гранд Лайн)?,0.004067270120352277
Появлялся ли персонаж в арке Логтаун?,0.003957710862162394
Относится ли Дьявольский фрукт к типу Древний Зоан?,0.003881543175404186
Является ли персонаж наемным убийцей?,0.0038669924701623284
Происходит ли персонаж из Уотер 7 (Гранд Лайн)?,0.0038316641741920005
Является ли персонаж ниндзя?,0.003763888652004132
Происходит ли персонаж из Страны Вано?,0.0037096134466726985
Появлялся ли персонаж в арке Орандж-Таун?,0.003679559218814778
Является ли персонаж вассалом семьи Кодзуки?,0.0036726455833822713
Происходит ли персонаж из Королевства Драм (Гранд Лайн)?,0.003659734650021836
Происходит ли персонаж с Ред Лайн (Мариджоа)?,0.003641056532433144
Появлялся ли персонаж в арке Амазон Лили?,0.0036020814675228508
Был ли персонаж охотником за головами?,0.0035613669801972795
Происходит ли персонаж с Острова Рыболюдей (Королевство Рюгу)?,0.003544343016666881
Появлялся ли персонаж в арке Левели (Совет Королей)?,0.0034378711594739257
Является ли персонаж ученым?,0.003410309212444886
Происходит ли персонаж из Королевства Гоа (Ист Блю)?,0.003406814474074494
Является ли персонаж Синъути (Звездным исполнителем Пиратов Зверей)?,0.0034050419810372594
Является ли персонаж барменом?,0.0033886899397944548
Был ли персонаж Шичибукаем (Морским Лордом)?,0.0033784882389670877
Является ли персонаж капитаном Морского Дозора?,0.0033331605035094554
Происходит ли персонаж с Небесного Острова Скайпия?,0.0033116512547504925
Является ли персонаж жрецом Энеля?,0.0033108198582837488
Является ли персонаж снайпером?,0.0032534885106851232
Происходит ли персонаж со Скайпии (Гранд Лайн)?,0.0032210387899303155
Является ли персонаж королем?,0.0032165953126879776
Является ли персонаж коком (поваром)?,0.0031411520492857286
Является ли персонаж министром Королевства Рюгу?,0.003059497098144218
Является ли персонаж верховным офицером пиратов?,0.0029669934876595506
Происходит ли персонаж с островов Гекко (Ист Блю)?,0.0029419456406679233
Является ли персонаж мечником?,0.0029373895648086507
Происходит ли персонаж из Княжества Мокомо (Гранд Лайн)?,0.002867760435193675
Происходит ли персонаж с Дрессрозы (Гранд Лайн)?,0.0028597013124686856
Является ли персонаж Адмиралом Дозора?,0.0027639484795345956
Является ли персонаж первым помощником капитана (старпомом)?,0.002724995411795947
Происходит ли персонаж с островов Кономи (Ист Блю)?,0.002720854191954219
